name,address,city,zip,lat,lon,id,geog
Southwest Transportation Agency,16644 S Elm Ave,Caruthers,93609,36.492055,-119.791174,26821,0101000020E610000083DC4598A2F25DC0A96A82A8FB3E4240
Clean Energy - Phoenix Sky Harbor Airport - Rental Car Center,2425 E Buckeye Rd,Phoenix,85034,33.435372,-112.033427,27026,0101000020E61000006BF3FFAA23025CC00CCC0A45BAB74040
Bluewater Area Transit,2021 Lapeer Ave,Port Huron,48060,42.977443,-82.447928,27653,0101000020E61000009DBD33DAAA9C54C0215A2BDA1C7D4540
Trillium - City of Berkeley,1101 2nd St,Berkeley,94710,37.88175,-122.306259,27973,0101000020E6100000C34659BF99935EC0BE9F1A2FDDF04240
Trillium - City of Visalia,439 N Cain St,Visalia,93292,36.333091,-119.274467,27975,0101000020E6100000333509DE90D15DC0C5CBD3B9A22A4240
Trillium - Visalia Unified School District,2425 W Houston Ave,Visalia,93291,36.341706,-119.318959,27976,0101000020E6100000F47002D369D45DC06A6CAF05BD2B4240
City of Asheville,45 McCormick Pl,Asheville,28801,35.588154,-82.550899,28133,0101000020E61000008B19E1ED41A354C07C8159A148CB4140
Dominion Energy - Sinclair,524 N 1500 W,Orem,84057,40.306765,-111.730637,28177,0101000020E6100000D80FB1C1C2EE5BC05A47551344274440
Victor Valley Transit Authority,100 N Sandstone Ct,Barstow,92311,34.886448,-117.079423,28523,0101000020E610000037E3344415455DC064CDC82077714140
Clean Energy - Downtown Tucson,1744 E Winsett St,Tucson,85719,32.214451,-110.945473,29168,0101000020E610000011902FA182BC5BC018CC5F21731B4040
Robertson's Palmdale Honda,455 Auto Vista Dr,Palmdale,93551,34.59343,-118.139497,29350,0101000020E6100000F838D384ED885DC08E3BA583F54B4140
Alternative Vehicle Service Group - Walpole,533 High Plain St,Walpole,2081,42.139911,-71.21695,30355,0101000020E610000080B74082E2CD51C0E2AC889AE8114540
Clean Energy - Canoga Park,7711 Canoga Ave,Canoga Park,91304,34.209938,-118.597508,30618,0101000020E61000004CC631923DA65DC00518963FDF1A4140
Clean Energy - Los Angeles Sanitation District,23924 Figueroa St,Carson,90745,33.807567,-118.284438,30619,0101000020E610000056EF703B34925DC0172AFF5A5EE74040
Kwik Trip #178,455 Concord St S,St. Paul,55125,44.883888,-93.03055,65669,0101000020E610000024B9FC87F44157C0D6A9F23D23714640
Clean Energy - University of California Los Angeles,741 Charles E Young Dr,Los Angeles,90095,34.067097,-118.447096,30620,0101000020E6100000098B8A389D9C5DC071546EA296084140
Trillium - City of Austin,2400 Business Center Dr,Austin,78744,30.213718,-97.738941,30622,0101000020E61000001B2B31CF4A6F58C008910C39B6363E40
